2025-07-22 12:42:35 | INFO | __main__ | Deleted old log: 2025-06-12_13-11-08.log
2025-07-22 12:42:52 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:44:13 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:44:13 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:44:50 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:44:50 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:44:52 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:44:54 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:45:35 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:45:36 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:45:37 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:46:12 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:47:05 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:47:09 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:47:24 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:47:27 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:47:28 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:47:48 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:47:57 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:48:20 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:48:23 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:48:25 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:48:26 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:50:49 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:50:56 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:50:56 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:51:17 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:51:18 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:51:32 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:51:34 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:52:31 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:52:32 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:52:58 | INFO | __main__ | Vector store created for Port Operations.pdf with 57 chunks.
2025-07-22 12:56:27 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:56:30 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:56:47 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:56:49 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:56:50 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:58:20 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:58:21 | INFO | __main__ | Marine regulatory indexes already exist.
